ID,Lieu,Epoque,Nom,Titre
03-22-03,Afrique,,Saturnin,martyr
03-22-04,Galatie,252,Callinice,martyr
03-22-05,Galatie,252,Basilisse,martyr
03-22-06,Ancyre,,Basile,prêtre
03-22-07,Carthage,,Octavien,archidiacre
03-22-08,Carthage,457,Deogratias,évêque
03-22-09,Osimo,1276,Benvenuto,évêque
03-22-10,Suède,1381,Catherine,vierge
03-22-11,Rome,384,Léa,veuve
03-22-12,Gênes,1510,Catherine,veuve
03-23-00,Afrique,persécution des Vandales,Victorien,Proconsul
03-23-01,Aquae Regiae,persécution des Vandales,Frumentius,aucun
03-23-02,Afrique,roi arien Hunéric,Fidèle,martyr
03-23-03,Césarée, en Palestine,Dèce,Nicon,martyr
03-23-04,,Julien l'Apostat,Domitius,martyr
03-23-05,Lima,1606,Turibius,archevêque
03-23-06,Antioche,,Théodulus,prêtre
03-23-07,Césarée,,Julien,Confesseur
03-23-08,Campanie,550,Benoît,moine
03-24-00,Rome,sous l'empereur Antonin,Marc et Timothée,martyrs
03-24-01,Rome,sous l'empereur Dioclétien,Épigménien,prêtre
03-24-02,Rome,sous l'empereur Julien l'Apostat,Pigmenius,prêtre
03-24-03,Césarée, en Palestine,sous l'empereur Dioclétien,Timolaus, Denis, Pauside, Romulus, Alexandre, un autre Alexandre, Agapius et un autre Denis,martyrs
03-24-04,Maroc,en l'an 304,Romulus et Secundus,martyrs
03-24-05,Trente,en l'an 1475,Siméon,enfant
03-24-06,Synnada, en Phrygie,sous Maximin 234-238,Agapet,évêque
03-24-07,Brescia,début du deuxième siècle,Latin,évêque
03-24-08,Syrie,,Séleucus,Confesseur
03-25-00,Jérusalem,,Larron,aucun
03-25-01,Rome,Claude,Quirin,martyr
03-25-02,Rome,,saints martyrs,martyrs
03-25-03,Sirmium,Maximien,Irénée,évêque
03-25-04,Nicomédie,,Dule,servante
03-25-05,Laodicée,Valens,Pélage,évêque
03-25-06,Indret,,Hermeland,abbé
03-25-07,Pistoie,,Baronce et Dizier,confesseurs
03-25-08,Montefiascone,,Lucie Philippini,vierge
03-26-00,Rome,,Castule,martyr
03-26-01,Rome,,Pierre,martyr
03-26-02,Rome,,Marcien,martyr
03-26-03,Rome,,Jovin,martyr
03-26-04,Rome,,Thècle,martyr
03-26-05,Rome,,Cassien,martyr
03-26-06,Pentapole de Libye,,Théodore,évêque
03-26-07,Pentapole de Libye,,Irénée,diacre
03-26-08,Pentapole de Libye,,Sérapion,martyr
03-26-09,Pentapole de Libye,,Ammon,martyr
03-26-10,Sirmium,,Montan,prêtre
03-26-11,Sirmium,,Maxime,martyr
03-26-12,,,Quadrat,martyr
03-26-13,,,Théodose,martyr
03-26-14,,,Emmanuel,martyr
03-26-15,Alexandrie,Constance,Eutiche,martyr
03-26-16,Munster,,Ludger,évêque
03-26-17,Sarragosse,,Braulion,évêque
03-26-18,Trèves,,Félix,évêque
03-27-00,,sous l'empereur Léon l'Isaurien,Jean Damasène,Docteur de l'Église
03-27-01,Druzipara, en Pannonie,sous l'empereur Maximien,Alexandre,soldat
03-27-02,,,Philétus,Sénateur
03-27-03,,,Amphilochius,Général
03-27-04,,,Chronide,notaire
03-27-05,Perse,sous Sapor, roi des Perses,Zanitas,martyr
03-27-06,Perse,sous Sapor, roi des Perses,Lazare,martyr
03-27-07,Perse,sous Sapor, roi des Perses,Marotes,martyr
03-27-08,Perse,sous Sapor, roi des Perses,Narsès,martyr
03-27-09,Salzbourg,718,Rupert,évêque
03-27-10,Égypte,par l'empereur Théodose,Jean,ermite
03-28-00,,,Jean de Capistran,Frère Mineur
03-28-01,Césarée, en Palestine,vers l'an 260,Priscus,martyr
03-28-02,Césarée, en Palestine,vers l'an 260,Malchus,martyr
03-28-03,Césarée, en Palestine,vers l'an 260,Alexandre,martyr
03-28-04,Tarse, en Cilicie,,Castor,martyr
03-28-05,Tarse, en Cilicie,,Dorothée,martyr
03-28-06,Afrique,,Rogatus,martyr
03-28-07,Afrique,,Successus,martyr
03-28-08,Rome,en l'an 440,Sixte III,Pape
03-28-09,Nursie,en l'an 517,Speus,Abbé
03-28-10,Chalon, en Gaule,en l'an 593,Guntram,Roi
03-29-00,Perse,an 326,Jonas,aucun
03-29-01,Perse,an 326,Barachisius,aucun
03-29-02,Balbeck, Liban,an 362,Cyrille,diacre
03-29-03,Nicomédie,an 303,Pasteur,aucun
03-29-04,Nicomédie,an 303,Victorin,aucun
03-29-05,Afrique,vers l'an 461,Armogaste,comte
03-29-06,Afrique,vers l'an 461,Masculus,aucun
03-29-07,Afrique,vers l'an 461,Saturus,aucun
03-29-08,Asti,deuxième siècle,Second,aucun
03-29-09,Monastère de Luxeuil,an 625,Eustache,abbé
03-30-00,Rome,sous l'empereur Hadrien,Tribune Quirinus,aucun
03-30-01,Thessalonique,peut-être sous Maximian,Domnin,martyr
03-30-02,Thessalonique,peut-être sous Maximian,Victor,martyr
03-30-03,Constantinople,à l'époque de l'empereur Constantin,Martyrs,martyr
03-30-04,Senlis,en l'an 130,Régle,évêque
03-30-05,Orléans,en l'an 557,Pasteur,évêque
03-30-06,Syracuse,en l'an 660,Zozime,évêque
03-30-07,mont Sinaï,de 525 à 605,Jean,abbé
03-30-08,Aquino,cinquième siècle,Clinius,aucun
03-31-00,Tekoa, en Palestine,785 av. J.-C.,Amos,Prophète
03-31-01,Afrique,,Théodulus,aucun
03-31-02,Afrique,,Anésius,aucun
03-31-03,Afrique,,Félix,aucun
03-31-04,Afrique,,Cornélia,aucun
03-31-05,Perse,401,Benjamin,Diacre
03-31-06,Rome,169,Balbine,vierge
04-01-00,Rome,empereur Hadrien,Théodora,martyre
04-01-01,Tolède,,Venance,évêque
04-01-02,Égypte,,Victor,martyr
04-01-03,Égypte,,Étienne,martyr
04-01-04,Arménie,,Quintien,martyr
04-01-05,Arménie,,Irénée,martyr
04-01-06,Constantinople,empereur Léon,Macaire,Confesseur
04-01-07,Grenoble,1132,Hugues,évêque
04-01-08,Amiens,619,Valery,abbé
04-02-00,,1507,François de Paule,aucun
04-02-01,Césarée, en Palestine,,Amphien,aucun
04-02-02,Tyr,307,Théodosie,vierge
04-02-03,Lyon,573,Nicétius,évêque
04-02-04,Côme,468,Abondius,évêque
04-02-05,Langres,395,Urbain,évêque
04-02-06,Palestine,Ve siècle,Marie d'Égypte,aucun
04-03-00,Angleterre,1253,Richard,évêque
04-03-01,Taormine, en Sicile,,Pancrace,évêque
04-03-02,Isnia, en Scythie,,Évagre,martyr
04-03-03,Isnia, en Scythie,,Bénigne,martyr
04-03-04,Thessalonique,304,Agapè,vierge
04-03-05,Thessalonique,304,Chionia,vierge
04-03-06,Tyr,305,Vulpian,martyr
04-03-07,monastère de Mecidion, sur le mont Olympe,,Nicétas,abbé
04-03-08,Angleterre,655,Burgundofora,abbesse
04-03-09,Palerme,1585,Benoît de San Fradello,Confesseur
04-04-00,Séville,639,Isidore,évêque
04-04-01,Thessalonique,,Agathopode,diacre
04-04-02,Thessalonique,,Théodoulos,lecteur
04-04-03,Milan,397,Ambroise,évêque
04-04-04,Constantinople,813,Platon,moine
04-04-05,Palestine,cinquième siècle,Zosime,ermite
04-05-00,Vannes,1419,Vincent Ferrer,Confesseur
04-05-01,Thessalonique,,Irène,Vierge
04-05-02,Lesbos,,cinq saints martyrs,martyrs
04-05-03,,,Zénon,martyr
04-05-04,Afrique,559 ou 570,saints martyrs,martyrs
04-05-05,Afrique,559 ou 570,Lecteur,Lecteur
04-06-00,Rome,années 117-127,Sixte I,Pape
04-06-01,Macédoine,an 345,Timothée,martyr
04-06-02,Macédoine,an 345,Diogène,martyr
04-06-03,Perse,vers l'an 344,cent vingt saints martyrs,martyrs
04-06-04,Ascalon,,Platonides,martyr
04-06-05,Ascalon,,deux autres,martyrs
04-06-06,Carthage,an 413,Marcellin,martyr
